,0
52,https://img.scryfall.com/cards/normal/front/c/6/c6bc3025-704f-476b-bcb3-74b905755dc9.jpg?1562554912
53,https://img.scryfall.com/cards/normal/front/f/e/feacf831-a6e4-456b-b8f2-d7ec554281a1.jpg?1562558414
54,https://img.scryfall.com/cards/normal/front/2/6/2602f046-5e79-4a8a-a5b1-b7c3cbb307fc.jpg?1562545195
55,https://img.scryfall.com/cards/normal/front/f/d/fd164011-7a8e-44a2-8599-0a1c0878b5b5.jpg?1562558295
56,https://img.scryfall.com/cards/normal/front/b/7/b760d616-b73a-4c7f-8a38-5606a9a321e3.jpg?1562554024
57,https://img.scryfall.com/cards/normal/front/a/a/aafd4637-737d-4913-80e3-ab4bf3428680.jpg?1562553234
58,https://img.scryfall.com/cards/normal/front/e/a/ea9edff0-58a8-405d-9f2e-39f8269bbcb2.jpg?1562557209
59,https://img.scryfall.com/cards/normal/front/b/e/bec5e56a-5bab-4965-9035-128c3f1ae175.jpg?1562554444
60,https://img.scryfall.com/cards/normal/front/b/8/b8117171-08a7-44f6-9c14-12e8b96c7632.jpg?1562554052
61,https://img.scryfall.com/cards/normal/front/a/5/a56b6552-367e-4b0b-9095-42322843b1b2.jpg?1562552857
62,https://img.scryfall.com/cards/normal/front/1/2/1224718a-e1a7-473d-ac9d-497e624376cd.jpg?1562543972
63,https://img.scryfall.com/cards/normal/front/f/1/f186271c-2b03-4e0c-b922-27e23787d865.jpg?1562557606
64,https://img.scryfall.com/cards/normal/front/d/a/da6b8e11-b799-4235-bd8f-c4b55946c769.jpg?1562556139
65,https://img.scryfall.com/cards/normal/front/c/6/c68d2204-e771-427a-a840-98f6150f648c.jpg?1562554901
66,https://img.scryfall.com/cards/normal/front/f/c/fcc887b1-299e-49f2-94ab-7c3fb24b1432.jpg?1562558283
67,https://img.scryfall.com/cards/normal/front/0/c/0c3d9c1d-a984-4971-810c-e493d0a55e5c.jpg?1562543603
68,https://img.scryfall.com/cards/normal/front/c/f/cf386439-0f68-454f-993b-d55dcc989d81.jpg?1562555489
69,https://img.scryfall.com/cards/normal/front/5/f/5f9271cc-6525-4a44-af24-915f0ba5afa9.jpg?1562548580
70,https://img.scryfall.com/cards/normal/front/4/4/4414ad73-146e-47a6-926a-ec148194bb50.jpg?1562546923
71,https://img.scryfall.com/cards/normal/front/b/a/baf37153-ec4c-4c2f-89f7-450f0a157311.jpg?1562554238
72,https://img.scryfall.com/cards/normal/front/f/3/f3558503-5124-44cb-8343-6dec0130f8f7.jpg?1562557715
73,https://img.scryfall.com/cards/normal/front/e/d/edba12b8-1418-4122-8e8a-ebbdb654e801.jpg?1562557378
74,https://img.scryfall.com/cards/normal/front/6/1/6197c672-dfa1-4d1e-97ea-af916864d23c.jpg?1562548742
75,https://img.scryfall.com/cards/normal/front/3/b/3bf7e928-511c-4a31-b1fb-8c28bd41182a.jpg?1562546457
76,https://img.scryfall.com/cards/normal/front/1/f/1fb98f0e-5fa0-497e-9061-85cf0b3a3eff.jpg?1562544802
77,https://img.scryfall.com/cards/normal/front/8/b/8bee0d51-f4a1-4a3a-9ccd-540c3afe62d0.jpg?1562551357
78,https://img.scryfall.com/cards/normal/front/1/e/1ebb7ade-ebbb-49fb-b64f-fa247f9a9af6.jpg?1562544721
79,https://img.scryfall.com/cards/normal/front/3/8/384ff8ca-068d-4115-9139-df00b63e2912.jpg?1562546227
